feat,mic
0,0.0006397372212239009
1,0.01857448041578104
2,0.0032913499198187466
3,0.019429426822433146
4,0.019936313506181264
5,0.0011339651856400264
6,0.0012956248001052262
7,0.0004748068730611752
8,0.0005079865523303133
9,0.0009623576970821752
10,0.01936952710424584
11,0.019784754975964543
12,0.0034262816977221294
13,0.004251590022285852
14,0.020071846676577847
15,0.0035133100772386113
16,0.004316689450851214
17,0.02014610718840064
18,0.0005493887143815561
19,1.8229311959461599e-06
20,5.4232270403941085e-05
23,0.0006451964584868999
24,0.012291247135580916
27,0.0011870922304644009
28,0.00046108044002471734
29,0.0014128805073116838
30,0.0012034041141034868
31,0.001667248180637231
32,0.001234656328286152
33,0.001260297279295305
34,0.0004520051860143946
35,0.00044259264645882154
38,0.0017027638106599438
39,0.0003779780274660417
40,4.782258798601905e-05
41,2.795019681737768e-05
42,1.5642940507619027e-05
45,5.876170117281411e-05
48,0.0009007247523841821
49,0.0010836853340975188
50,0.0003292061104017666
51,0.0002254176391966235
52,0.00033525920802157156
53,0.0002254176391966235
54,0.00023343619803094945
55,0.00023343619803094945
62,9.182989009770444e-05
63,0.014033771539580237
64,8.211197237464586e-05
65,5.843479931586196e-05
66,4.5165965724379465e-06
67,1.8696985287000396e-07
68,1.8696985287000396e-07
73,4.392667862004813e-06
74,7.244543592952808e-06
75,7.244543592952808e-06
76,0.0007927152132140293
77,2.002184037294389e-06
78,5.6090595050504896e-05
79,0.0007552484149996027
81,5.6090595050504896e-05
82,3.0914183627444504e-05
83,2.4115008304473552e-05
86,3.6510182027388484e-05
87,5.56105787418957e-05
88,0.01506568910216906
89,0.000666730470693649
90,0.012311532275086178
93,0.0011888603691349894
94,0.00046108044002471734
95,0.0014980550929030194
96,0.0012099381701464417
97,0.0016725149553955558
98,0.001240457819134201
99,0.0012605752555272338
100,0.0004594201938669426
101,0.0004484185473329498
104,0.0017052913090001623
105,0.00046033685828068187
106,4.935235226868016e-05
107,0.00012714504448087686
108,8.418883799550223e-05
113,0.00090358096431477
114,0.0010841420755623317
115,0.00027565842660312226
116,0.00027565842660312226
117,0.00028724876763225386
118,0.00028724876763225386
119,6.653494912700321e-05
121,0.00016778798137136544
122,0.00020408378991620512
123,0.00043569424936368257
124,0.0001166669642433657
125,0.0007505648489736514
126,0.001198994157976032
127,0.00043348368257624896
128,0.00011802677734327766
129,0.0008037858345935453
130,0.0011659565565074195
137,0.0021542965392457878
138,0.01439760668398743
139,0.00018436942928888266
140,0.00012944116393829973
141,2.649750819725423e-06
142,2.649750819725423e-06
147,0.015052519843718847
148,0.00018640200478462832
149,7.054426386264414e-05
150,7.054426386264414e-05
151,0.0008408195531026545
152,6.213031389956041e-05
153,5.6090595050504896e-05
154,0.0007944130248328746
156,5.6090595050504896e-05
157,0.0012549650789155887
158,0.01288982522193306
159,3.118242716480216e-05
160,2.4115008304473552e-05
163,0.001403607600284763
164,0.03625030768995831
166,0.010377776581804556
167,0.004342759965206296
168,0.0022889737286545934
169,0.0005415390959572394
171,0.0027778224795712257
172,0.0006833765335360067
173,0.00020535246765913872
176,0.003574080368627146
177,0.007179528026807642
178,0.006939712577077366
182,0.04179612894124252
183,0.00045603672890073
184,0.00024440819808916204
187,0.01437034053693122
188,0.0014013158862871032
190,0.03941894368245089
191,0.00021992348935595643
193,0.008563921360369873
196,0.0010415020113210282
197,1.824537473256954e-05
199,2.6864586336190367e-05
200,1.8833946615117329e-06
201,1.2691272849403992e-06
208,0.0010242310426002831
209,1.747883687867741e-05
211,2.3031137775969165e-05
212,1.8833946615117329e-06
213,1.2691272849403992e-06
224,0.0012000563587666385
225,0.0004449627134778192
227,9.424089735928297e-05
231,0.000701812996429351
233,0.0001854192047619886
235,8.964281300652127e-05
237,7.585078276682163e-05
240,0.00844100351913355
241,0.012769758952440688
253,9.320974678263841e-07
254,7.341070054276349e-05
255,5.974274995990735e-05
256,4.110874128799048e-05
257,5.096645515984535e-05
258,3.51695085758544e-05
259,0.00034889898466557764
260,0.00023879409997441174
263,0.00098279538492674
264,8.752672293756024e-05
266,9.424089735922417e-05
270,1.0094285548440423e-05
272,2.9291096914410204e-05
273,9.63992191196389e-05
274,0.0004398978083954679
275,0.00026806149164313185
276,0.0006933500301801295
277,0.000704165259969167
278,0.0005980172206427367
279,0.0012238394743202346
280,0.01472013745909097
281,0.0005287024617272307
282,0.001096161039703363
283,0.0013212374663832216
286,6.873445268029618e-05
289,0.001815597415599145
290,7.53874220967187e-05
291,0.000552668944030504
292,0.0008429846439564626
293,0.00019808004617812274
294,0.00021871839289560116
295,0.0003073521245334601
296,0.00032842269419519236
297,0.0005832216179981267
298,0.0008243922729740028
299,0.0004584064385179175
300,0.0005850226764601053
301,0.0005484456417905709
302,0.0005718828349910668
304,1.8833946615117329e-06
306,7.585078276682601e-05
309,6.436982948624349e-05
310,0.00035999883861333306
311,0.0005284069548110317
312,0.00015037209171377063
323,0.0019257428445477924
324,0.001013255857819493
325,0.0017501157015478868
326,0.0021052489437416474
328,0.037500075731743125
329,0.030505637168283428
330,0.03702206915524262
331,0.03739048395033799
332,0.006661589863246095
333,0.0022184029307509546
334,0.011089955099988549
335,0.01117795767741401
336,0.003827392828126483
337,0.0018109102769495826
338,0.004637907784796648
339,0.004705040158484883
340,0.0031578478140049018
341,0.001156290832645681
342,0.002635451886300754
343,0.003726900373915838
354,0.00021148718101518258
355,0.00021148718101514255
366,0.00022912815809739606
367,0.00022912815809742108
368,0.030383704881351625
